Which of the following characters never mention Okkotsu Yuta's name during season 1?,Aoi Todou,Fushiguro Megumi,Kugisaki Nobara,Panda,B
"Who was the first â€˜Hashiraâ€™  that tanjiro meets in the mountain.
","Shinobu Kocho
"," Giyu Tomioka
","Uzui Tengen
","Gyomei Himegima
",           D
"What is not a part of Giyuâ€™s outfit.
",Black Boot With straps,"A Red Half-Coat
","Green And Gold Checkered Cloth.
",Demon Slayer Uniform,           A
"How many members of the Spider Family did the Demon Slayer Corps encounter?
",Eight,Five,Six,Four,           C
"What name does Muzan Kibitsujiâ€™s wife call him by ____.
",Muichiro,Tsukihiko,Takeharu,Sanemi,           B
What form of thunder breathing is Zenitsu able to use ?,Thunderclap and Flash,Honoikazuchi no Kami,Both,None,C
Who turned  Gyutaro and Daki into demons,Akaza,Muzan,Doma,Kokushibo,C
,,,,,
Who ate Marcel's Jaw Titan ?,Porco,Falco,Ymir,Mageth,C
Which member of the garission unit led misson in which eren had to close entrance of by the Boulder?  ,Riko,Jan,Marcey,Fila,B
What does O in ODM gear stand for ? ,Oath,Obdurate,Object,Omni,D
Who was the first person on earth to awaken the rinnegan?,Hamura,Hagoromo,Madara,Pein,B
Whose susanoo was red in colour?,Itachi,Sasuke,Madara,Kakashi,A
Who was the Yellow Flash's teacher?,Jiraya,Orochimaru,Tsunade,None of the Above,A
Who reanimated Madara?,Obito,Kabuto,Orochimaru,None of the Above,B
Who was faster than the 4th Raikage max speed?,Naruto,Minato,Both ,No one,C
Who is the second Hokage?,Minato,Tobirama,Hashirama,Hiruzen,B
Who killed Asuma?,Deidara,Tobi,Itachi,None of the Above,D
Who of the following are not a part of the akatsuki?,Kabuto,Madara,Konan,None of the Above,D
Where does Shikamaru wear his headband?,Left bicep,Right bicep,Neck,Head,A
"Which hokage have the nickname ""The professor""",Minato,Hashirama Senju,Hiruzen,Tobirama Senju,C
